price,time
13316.67,2018-01-01 20:00:01
13309.01,2018-01-01 20:00:03
13331.0,2018-01-01 20:00:06
13331.0,2018-01-01 20:00:07
13331.0,2018-01-01 20:00:08
13348.91,2018-01-01 20:00:09
13348.68,2018-01-01 20:00:10
13350.0,2018-01-01 20:00:11
13336.0,2018-01-01 20:00:12
13350.0,2018-01-01 20:00:13
13347.4,2018-01-01 20:00:14
13350.0,2018-01-01 20:00:15
13351.76,2018-01-01 20:00:16
13357.67,2018-01-01 20:00:17
13359.15,2018-01-01 20:00:18
13365.82,2018-01-01 20:00:19
13366.17,2018-01-01 20:00:20
13354.18,2018-01-01 20:00:21
13368.87,2018-01-01 20:00:22
13367.81,2018-01-01 20:00:23
13368.87,2018-01-01 20:00:24
13365.84,2018-01-01 20:00:25
13368.87,2018-01-01 20:00:26
13368.99,2018-01-01 20:00:27
13366.84,2018-01-01 20:00:28
13368.99,2018-01-01 20:00:29
13368.99,2018-01-01 20:00:30
13360.98,2018-01-01 20:00:32
13374.28,2018-01-01 20:00:33
13368.99,2018-01-01 20:00:35
13393.51,2018-01-01 20:00:36
13370.16,2018-01-01 20:00:39
13368.51,2018-01-01 20:00:40
13383.78,2018-01-01 20:00:41
13383.78,2018-01-01 20:00:42
13385.31,2018-01-01 20:00:43
13398.5,2018-01-01 20:00:44
13385.33,2018-01-01 20:00:46
13385.34,2018-01-01 20:00:47
13377.53,2018-01-01 20:00:49
13378.67,2018-01-01 20:00:50
13378.67,2018-01-01 20:00:52
13375.91,2018-01-01 20:00:54
13375.91,2018-01-01 20:00:55
13367.86,2018-01-01 20:00:57
13375.17,2018-01-01 20:00:58
13375.17,2018-01-01 20:01:00
13379.04,2018-01-01 20:01:08
13376.45,2018-01-01 20:01:18
13355.54,2018-01-01 20:01:21
13369.58,2018-01-01 20:01:27
13379.4,2018-01-01 20:01:30
13373.83,2018-01-01 20:01:38
13350.36,2018-01-01 20:01:42
13341.24,2018-01-01 20:01:55
13346.83,2018-01-01 20:01:56
13340.15,2018-01-01 20:01:57
13340.37,2018-01-01 20:01:59
13340.37,2018-01-01 20:02:00
13347.04,2018-01-01 20:02:01
13335.4,2018-01-01 20:02:02
13331.0,2018-01-01 20:02:03
13337.19,2018-01-01 20:02:07
13339.48,2018-01-01 20:02:08
13346.46,2018-01-01 20:02:10
13347.04,2018-01-01 20:02:11
13348.8,2018-01-01 20:02:12
13332.94,2018-01-01 20:02:13
13350.88,2018-01-01 20:02:14
13332.45,2018-01-01 20:02:16
13351.37,2018-01-01 20:02:17
13348.71,2018-01-01 20:02:18
13351.17,2018-01-01 20:02:19
13353.2,2018-01-01 20:02:21
13351.17,2018-01-01 20:02:22
13355.9,2018-01-01 20:02:23
13355.66,2018-01-01 20:02:24
13355.16,2018-01-01 20:02:26
13340.45,2018-01-01 20:02:27
13355.16,2018-01-01 20:02:30
13355.16,2018-01-01 20:02:32
13355.16,2018-01-01 20:02:33
13355.16,2018-01-01 20:02:34
13360.33,2018-01-01 20:02:35
13361.83,2018-01-01 20:02:36
13366.3,2018-01-01 20:02:38
13364.56,2018-01-01 20:02:40
13364.55,2018-01-01 20:02:41
13364.52,2018-01-01 20:02:43
13364.52,2018-01-01 20:02:45
13364.33,2018-01-01 20:02:46
13360.48,2018-01-01 20:02:47
13366.54,2018-01-01 20:02:48
13373.81,2018-01-01 20:02:49
13373.81,2018-01-01 20:02:50
13373.81,2018-01-01 20:02:51
13379.42,2018-01-01 20:02:52
13379.42,2018-01-01 20:02:53
13379.14,2018-01-01 20:02:54
13383.88,2018-01-01 20:02:55
13383.88,2018-01-01 20:02:56
13383.88,2018-01-01 20:02:57
13385.71,2018-01-01 20:02:58
13392.59,2018-01-01 20:02:59
13396.67,2018-01-01 20:03:00
13400.0,2018-01-01 20:03:01
13403.38,2018-01-01 20:03:02
13405.33,2018-01-01 20:03:03
13406.92,2018-01-01 20:03:04
13407.43,2018-01-01 20:03:05
13409.4,2018-01-01 20:03:07
13403.31,2018-01-01 20:03:08
13403.31,2018-01-01 20:03:09
13409.5,2018-01-01 20:03:14
13404.5,2018-01-01 20:03:15
13404.5,2018-01-01 20:03:17
13406.0,2018-01-01 20:03:19
13410.2,2018-01-01 20:03:21
13415.6,2018-01-01 20:03:23
13416.1,2018-01-01 20:03:25
13416.1,2018-01-01 20:03:26
13422.3,2018-01-01 20:03:27
13433.53,2018-01-01 20:03:28
13437.01,2018-01-01 20:03:29
13446.48,2018-01-01 20:03:30
13448.11,2018-01-01 20:03:31
13448.34,2018-01-01 20:03:33
13455.65,2018-01-01 20:03:34
13445.33,2018-01-01 20:03:35
13445.32,2018-01-01 20:03:36
13457.61,2018-01-01 20:03:39
13459.24,2018-01-01 20:03:40
13453.71,2018-01-01 20:03:41
13449.93,2018-01-01 20:03:42
13456.56,2018-01-01 20:03:43
13462.21,2018-01-01 20:03:44
13486.25,2018-01-01 20:03:45
13488.0,2018-01-01 20:03:46
13500.0,2018-01-01 20:03:47
13492.81,2018-01-01 20:03:48
13503.34,2018-01-01 20:03:49
13513.5,2018-01-01 20:03:50
13510.46,2018-01-01 20:03:51
13510.47,2018-01-01 20:03:52
13506.18,2018-01-01 20:03:53
13506.18,2018-01-01 20:03:54
13510.46,2018-01-01 20:03:55
13496.09,2018-01-01 20:03:56
13503.71,2018-01-01 20:03:57
13496.0,2018-01-01 20:03:58
13522.0,2018-01-01 20:03:59
13523.29,2018-01-01 20:04:00
13503.33,2018-01-01 20:04:02
13503.33,2018-01-01 20:04:03
13526.17,2018-01-01 20:04:04
13503.32,2018-01-01 20:04:05
13513.73,2018-01-01 20:04:06
13510.06,2018-01-01 20:04:07
13511.54,2018-01-01 20:04:08
13490.92,2018-01-01 20:04:09
13490.93,2018-01-01 20:04:10
13499.2,2018-01-01 20:04:11
13495.54,2018-01-01 20:04:12
13513.73,2018-01-01 20:04:13
13489.92,2018-01-01 20:04:14
13487.58,2018-01-01 20:04:15
13492.0,2018-01-01 20:04:16
13491.98,2018-01-01 20:04:18
13494.63,2018-01-01 20:04:20
13482.2,2018-01-01 20:04:21
13493.96,2018-01-01 20:04:22
13494.63,2018-01-01 20:04:23
13482.2,2018-01-01 20:04:24
13494.6,2018-01-01 20:04:25
13494.63,2018-01-01 20:04:26
13512.21,2018-01-01 20:04:27
13499.98,2018-01-01 20:04:28
13508.56,2018-01-01 20:04:29
13489.99,2018-01-01 20:04:31
13473.88,2018-01-01 20:04:32
13470.78,2018-01-01 20:04:33
13494.8,2018-01-01 20:04:34
13501.66,2018-01-01 20:04:35
13494.3,2018-01-01 20:04:36
13470.79,2018-01-01 20:04:37
13461.77,2018-01-01 20:04:39
13460.33,2018-01-01 20:04:40
13494.3,2018-01-01 20:04:42
13486.45,2018-01-01 20:04:44
13496.0,2018-01-01 20:04:45
13496.0,2018-01-01 20:04:46
13496.0,2018-01-01 20:04:47
13459.46,2018-01-01 20:04:48
13457.61,2018-01-01 20:04:49
13483.93,2018-01-01 20:04:50
13461.43,2018-01-01 20:04:54
13473.66,2018-01-01 20:04:55
13457.4,2018-01-01 20:04:56
13451.44,2018-01-01 20:04:57
13457.39,2018-01-01 20:04:58
13469.28,2018-01-01 20:04:59
13464.95,2018-01-01 20:05:00
13466.43,2018-01-01 20:05:01
13466.42,2018-01-01 20:05:02
13460.26,2018-01-01 20:05:03
13460.26,2018-01-01 20:05:04
13458.4,2018-01-01 20:05:05
13443.8,2018-01-01 20:05:06
13449.13,2018-01-01 20:05:07
13435.33,2018-01-01 20:05:08
13440.33,2018-01-01 20:05:09
13441.33,2018-01-01 20:05:10
13430.11,2018-01-01 20:05:11
13434.8,2018-01-01 20:05:12
13443.43,2018-01-01 20:05:13
13443.43,2018-01-01 20:05:14
13443.78,2018-01-01 20:05:15
13434.8,2018-01-01 20:05:16
13446.51,2018-01-01 20:05:17
13444.3,2018-01-01 20:05:18
13444.29,2018-01-01 20:05:19
13444.3,2018-01-01 20:05:20
13445.84,2018-01-01 20:05:21
13446.55,2018-01-01 20:05:22
13458.12,2018-01-01 20:05:23
13459.24,2018-01-01 20:05:24
13462.31,2018-01-01 20:05:25
13466.56,2018-01-01 20:05:26
13464.25,2018-01-01 20:05:27
13466.56,2018-01-01 20:05:28
13466.56,2018-01-01 20:05:29
13460.64,2018-01-01 20:05:30
13457.41,2018-01-01 20:05:31
13451.38,2018-01-01 20:05:32
13473.29,2018-01-01 20:05:33
13480.0,2018-01-01 20:05:34
13475.0,2018-01-01 20:05:35
13447.38,2018-01-01 20:05:36
13465.87,2018-01-01 20:05:37
13453.4,2018-01-01 20:05:38
13455.9,2018-01-01 20:05:39
13460.73,2018-01-01 20:05:40
13453.4,2018-01-01 20:05:41
13466.95,2018-01-01 20:05:42
13465.46,2018-01-01 20:05:43
13465.44,2018-01-01 20:05:44
13467.22,2018-01-01 20:05:45
13467.21,2018-01-01 20:05:46
13460.44,2018-01-01 20:05:47
13461.43,2018-01-01 20:05:48
13461.93,2018-01-01 20:05:49
13461.93,2018-01-01 20:05:50
13461.93,2018-01-01 20:05:51
13461.92,2018-01-01 20:05:52
13461.92,2018-01-01 20:05:53
13465.03,2018-01-01 20:05:54
13463.12,2018-01-01 20:05:55
13461.94,2018-01-01 20:05:56
13450.4,2018-01-01 20:05:58
13471.69,2018-01-01 20:05:59
13457.39,2018-01-01 20:06:00
13455.4,2018-01-01 20:06:01
13466.26,2018-01-01 20:06:05
13450.03,2018-01-01 20:06:08
13450.03,2018-01-01 20:06:11
13450.0,2018-01-01 20:06:12
13450.0,2018-01-01 20:06:14
13450.39,2018-01-01 20:06:18
13450.0,2018-01-01 20:06:19
13450.0,2018-01-01 20:06:20
13450.0,2018-01-01 20:06:22
13450.0,2018-01-01 20:06:23
13450.0,2018-01-01 20:06:24
13450.0,2018-01-01 20:06:25
13450.0,2018-01-01 20:06:26
13450.0,2018-01-01 20:06:27
13450.0,2018-01-01 20:06:28
13450.0,2018-01-01 20:06:29
13450.0,2018-01-01 20:06:30
13450.0,2018-01-01 20:06:32
13450.0,2018-01-01 20:06:33
13450.0,2018-01-01 20:06:34
13450.0,2018-01-01 20:06:35
13450.0,2018-01-01 20:06:36
13450.0,2018-01-01 20:06:37
13450.02,2018-01-01 20:06:38
13450.0,2018-01-01 20:06:39
13450.0,2018-01-01 20:06:40
13456.1,2018-01-01 20:06:41
13457.78,2018-01-01 20:06:43
13466.5,2018-01-01 20:06:44
13469.1,2018-01-01 20:06:45
13472.37,2018-01-01 20:06:46
13452.78,2018-01-01 20:06:47
13453.8,2018-01-01 20:06:55
13473.54,2018-01-01 20:06:58
13468.55,2018-01-01 20:06:59
13452.24,2018-01-01 20:07:00
13452.24,2018-01-01 20:07:01
13450.0,2018-01-01 20:07:02
13479.3,2018-01-01 20:07:06
13450.0,2018-01-01 20:07:14
13450.0,2018-01-01 20:07:19
13450.0,2018-01-01 20:07:21
13464.52,2018-01-01 20:07:27
13450.0,2018-01-01 20:07:28
13465.47,2018-01-01 20:07:29
13471.25,2018-01-01 20:07:32
13472.82,2018-01-01 20:07:34
13482.51,2018-01-01 20:07:38
13467.9,2018-01-01 20:07:40
13466.54,2018-01-01 20:07:41
13487.23,2018-01-01 20:07:44
13482.09,2018-01-01 20:07:45
13490.48,2018-01-01 20:07:46
13490.48,2018-01-01 20:07:47
13486.89,2018-01-01 20:07:48
13486.89,2018-01-01 20:07:50
13488.83,2018-01-01 20:07:51
13488.83,2018-01-01 20:07:53
13488.82,2018-01-01 20:07:57
13480.41,2018-01-01 20:07:59
